Date,Fund Id,Fund Name,AUM(value of fund units)
2020-02-24,73,High risk fund,6.36583075311
2020-02-24,73,High risk fund,16.04292024693
2020-02-24,73,High risk fund,19.54562449998
2020-02-24,73,High risk fund,19.54562449998
2020-02-24,73,High risk fund,140.58221409
2020-02-24,73,High risk fund,-0.0073800000000002796
2020-02-24,78,Mixed fund,130.3581
2020-02-25,72,Low risk fund,0.01159294000094633
2020-02-25,73,High risk fund,4.099813919249999
2020-02-25,73,High risk fund,5844.99
2020-02-25,73,High risk fund,0.0
2020-02-25,76,Investment fund,2.853
2020-02-26,76,Investment fund,2.853
2020-02-27,73,High risk fund,4340.0
2020-02-28,73,High risk fund,4340.0
2020-02-29,73,High risk fund,4340.0
2020-03-01,73,High risk fund,4340.0
2020-03-02,73,High risk fund,4340.0
2020-03-03,73,High risk fund,4340.0
2020-03-04,73,High risk fund,4340.0
2020-03-05,72,Low risk fund,3751.0
2020-03-05,72,Low risk fund,1093.09032635
2020-03-05,73,High risk fund,128.56320000000002
2020-03-05,73,High risk fund,3672.0000000000005
2020-03-05,73,High risk fund,4893.4800000000005
2020-03-05,73,High risk fund,10.800000010800002
2020-03-05,73,High risk fund,288.000000252
2020-03-05,73,High risk fund,648.0000006480001
2020-03-05,73,High risk fund,2991.9960026280005
2020-03-05,73,High risk fund,288.000000252
2020-03-05,73,High risk fund,118.800000108
2020-03-05,73,High risk fund,1440.000001368
2020-03-05,73,High risk fund,72.7128000684
2020-03-05,73,High risk fund,268.88400023040003
2020-03-05,73,High risk fund,268.88400023040003
2020-03-05,73,High risk fund,268.88400023040003
2020-03-05,73,High risk fund,268.88400023040003
2020-03-05,73,High risk fund,268.88400023040003
2020-03-05,73,High risk fund,268.88400023040003
2020-03-05,73,High risk fund,268.88400023040003
2020-03-05,73,High risk fund,268.88400023040003
2020-03-05,73,High risk fund,268.88400023040003
2020-03-05,73,High risk fund,268.88400023040003
2020-03-05,73,High risk fund,268.88400023040003
2020-03-05,73,High risk fund,268.88400023040003
2020-03-05,73,High risk fund,268.88400023040003
2020-03-05,73,High risk fund,268.88400023040003
2020-03-05,73,High risk fund,3348.0
2020-03-05,73,High risk fund,2160.0000018360006
2020-03-05,73,High risk fund,288.000000252
2020-03-05,73,High risk fund,648.0000006480001
2020-03-05,73,High risk fund,598.3992005256
2020-03-05,73,High risk fund,288.000000252
2020-03-05,73,High risk fund,118.800000108
2020-03-05,73,High risk fund,1692.3600016200003
2020-03-05,73,High risk fund,3024.000002916
2020-03-05,73,High risk fund,2160.0000018360006
2020-03-05,73,High risk fund,288.000000252
2020-03-05,73,High risk fund,360.0000003960001
2020-03-05,73,High risk fund,2991.9960026280005
2020-03-05,73,High risk fund,288.000000252
2020-03-05,73,High risk fund,118.800000108
2020-03-05,73,High risk fund,1692.3600016200003
2020-03-05,73,High risk fund,8888.882409
2020-03-05,73,High risk fund,72.7128000684
2020-03-05,73,High risk fund,2160.0000018360006
2020-03-05,74,Moderate risk fund,719.9051403477
2020-03-05,75,Government bond fund,41596.633372
2020-03-05,75,Government bond fund,783.8110569547999
2020-03-05,76,Investment fund,749.6286269816
2020-03-06,76,Investment fund,749.6286269816
2020-03-07,76,Investment fund,749.6286269816
2020-03-08,76,Investment fund,749.6286269816
2020-03-09,73,High risk fund,6604.93345642
2020-03-10,72,Low risk fund,5637.8514000000005
2020-03-10,76,Investment fund,2839.5018
2020-03-11,72,Low risk fund,58.385400000000004
2020-03-11,72,Low risk fund,52354.373600000006
2020-03-11,72,Low risk fund,1318.9348
2020-03-11,73,High risk fund,38.43360011520001
2020-03-11,73,High risk fund,358.5167999856
2020-03-11,73,High risk fund,797.8608
2020-03-11,74,Moderate risk fund,17.7289
2020-03-11,74,Moderate risk fund,778.4224
2020-03-11,75,Government bond fund,30.9256
2020-03-11,75,Government bond fund,41596.633372
2020-03-11,75,Government bond fund,783.8004
2020-03-11,76,Investment fund,29.059400000000004
2020-03-11,76,Investment fund,888.1429
2020-03-12,78,Mixed fund,4133.890799999999
2020-03-13,78,Mixed fund,4133.890799999999
2020-03-14,78,Mixed fund,4133.890799999999
2020-03-15,78,Mixed fund,4133.890799999999
2020-03-16,78,Mixed fund,4133.890799999999
2020-03-17,78,Mixed fund,4133.890799999999
2020-03-18,78,Mixed fund,4133.890799999999
2020-03-19,78,Mixed fund,4133.890799999999
2020-03-20,78,Mixed fund,4133.890799999999
2020-03-21,78,Mixed fund,4133.890799999999
2020-03-22,78,Mixed fund,4133.890799999999
2020-03-23,78,Mixed fund,4133.890799999999
2020-03-24,72,Low risk fund,17.329
2020-03-25,74,Moderate risk fund,16.3959
2020-03-25,75,Government bond fund,25.8556733204
2020-03-25,76,Investment fund,36.7908
2020-03-26,76,Investment fund,36.7908
2020-03-27,76,Investment fund,36.7908
2020-03-28,76,Investment fund,36.7908
2020-03-29,76,Investment fund,36.7908
2020-03-30,76,Investment fund,36.7908
2020-03-31,76,Investment fund,36.7908
2020-04-01,76,Investment fund,36.7908
2020-04-02,76,Investment fund,36.7908
2020-04-03,76,Investment fund,36.7908
2020-04-04,76,Investment fund,36.7908
2020-04-05,76,Investment fund,36.7908
2020-04-06,76,Investment fund,36.7908
2020-04-07,76,Investment fund,36.7908
2020-04-08,76,Investment fund,36.7908
2020-04-09,76,Investment fund,36.7908
2020-04-10,76,Investment fund,36.7908
2020-04-11,76,Investment fund,36.7908
2020-04-12,76,Investment fund,36.7908
2020-04-13,76,Investment fund,36.7908
2020-04-14,76,Investment fund,36.7908
2020-04-15,76,Investment fund,36.7908
2020-04-16,76,Investment fund,36.7908
2020-04-17,76,Investment fund,36.7908
2020-04-18,76,Investment fund,36.7908
2020-04-19,76,Investment fund,36.7908
2020-04-20,76,Investment fund,36.7908
2020-04-21,76,Investment fund,36.7908
2020-04-22,76,Investment fund,36.7908
2020-04-23,76,Investment fund,36.7908
2020-04-24,76,Investment fund,36.7908
2020-04-25,76,Investment fund,36.7908
2020-04-26,76,Investment fund,36.7908
2020-04-27,76,Investment fund,36.7908
2020-04-28,76,Investment fund,36.7908
2020-04-29,76,Investment fund,36.7908
2020-04-30,76,Investment fund,36.7908
2020-05-01,76,Investment fund,36.7908
2020-05-02,76,Investment fund,36.7908
2020-05-03,76,Investment fund,36.7908
2020-05-04,76,Investment fund,36.7908
2020-05-05,76,Investment fund,36.7908
2020-05-06,76,Investment fund,36.7908
2020-05-07,76,Investment fund,36.7908
2020-05-08,76,Investment fund,36.7908
2020-05-09,76,Investment fund,36.7908
2020-05-10,76,Investment fund,36.7908
2020-05-11,76,Investment fund,36.7908
2020-05-12,76,Investment fund,36.7908
2020-05-13,76,Investment fund,36.7908
2020-05-14,76,Investment fund,36.7908
2020-05-15,76,Investment fund,36.7908
2020-05-16,76,Investment fund,36.7908
2020-05-17,76,Investment fund,36.7908
2020-05-18,73,High risk fund,329.9967
2020-05-19,73,High risk fund,329.9967
2020-05-20,73,High risk fund,3948.0
2020-05-20,73,High risk fund,469.999999953
2020-05-20,73,High risk fund,376.000000047
2020-05-20,73,High risk fund,376.000000047
2020-05-20,73,High risk fund,469.999999953
2020-05-20,73,High risk fund,3948.0
2020-05-21,73,High risk fund,3948.0
2020-05-22,73,High risk fund,3948.0
2020-05-23,73,High risk fund,3948.0
2020-05-24,73,High risk fund,3948.0
2020-05-25,73,High risk fund,3948.0
2020-05-26,73,High risk fund,3948.0
2020-05-27,73,High risk fund,3948.0
2020-05-28,73,High risk fund,3948.0
2020-05-29,73,High risk fund,3948.0
2020-05-30,73,High risk fund,3948.0
2020-05-31,73,High risk fund,3948.0
2020-06-01,73,High risk fund,3948.0
2020-06-02,73,High risk fund,3948.0
2020-06-03,73,High risk fund,3948.0
2020-06-04,73,High risk fund,3948.0
2020-06-05,73,High risk fund,3948.0
2020-06-06,73,High risk fund,3948.0
2020-06-07,73,High risk fund,3948.0
2020-06-08,73,High risk fund,3948.0
2020-06-09,73,High risk fund,3948.0
2020-06-10,73,High risk fund,3948.0
2020-06-11,73,High risk fund,3948.0
2020-06-12,73,High risk fund,3948.0
2020-06-13,73,High risk fund,3948.0
2020-06-14,73,High risk fund,3948.0
2020-06-15,73,High risk fund,3948.0
2020-06-16,73,High risk fund,3948.0
2020-06-17,73,High risk fund,3948.0
2020-06-18,73,High risk fund,3948.0
2020-06-19,73,High risk fund,3948.0
2020-06-20,73,High risk fund,3948.0
2020-06-21,73,High risk fund,3948.0
2020-06-22,73,High risk fund,3948.0
2020-06-23,72,Low risk fund,0.177
2020-06-24,72,Low risk fund,0.177
2020-06-25,72,Low risk fund,0.177
2020-06-26,72,Low risk fund,0.177
2020-06-27,72,Low risk fund,0.177
2020-06-28,72,Low risk fund,0.177
2020-06-29,72,Low risk fund,0.177
2020-06-30,72,Low risk fund,0.177
2020-07-01,73,High risk fund,4.56640000128
2020-07-01,73,High risk fund,13.699200003840001
2020-07-02,73,High risk fund,13.699200003840001
2020-07-03,73,High risk fund,13.699200003840001
2020-07-04,73,High risk fund,13.699200003840001
2020-07-05,73,High risk fund,13.699200003840001
2020-07-06,72,Low risk fund,34.657412858
2020-07-06,72,Low risk fund,2.99618714664
2020-07-06,73,High risk fund,0.006230169469999999
2020-07-06,73,High risk fund,0.14369465707499998
2020-07-06,73,High risk fund,0.01922078733
2020-07-06,73,High risk fund,0.30051311219
2020-07-07,73,High risk fund,0.30051311219
2020-07-08,78,Mixed fund,0.097
2020-07-09,78,Mixed fund,0.097
2020-07-10,78,Mixed fund,0.097
2020-07-11,78,Mixed fund,0.097
2020-07-12,78,Mixed fund,0.097
2020-07-13,78,Mixed fund,0.097
2020-07-14,78,Mixed fund,0.097
2020-07-15,78,Mixed fund,0.097
2020-07-16,72,Low risk fund,0.1605
2020-07-16,73,High risk fund,0.133
2020-07-17,73,High risk fund,0.133
2020-07-18,73,High risk fund,0.133
2020-07-19,73,High risk fund,0.133
2020-07-20,73,High risk fund,0.133
2020-07-21,73,High risk fund,0.133
2020-07-22,73,High risk fund,0.133
2020-07-23,73,High risk fund,0.133
2020-07-24,73,High risk fund,0.1932
2020-07-25,73,High risk fund,0.1932
2020-07-26,73,High risk fund,0.1932
2020-07-27,73,High risk fund,0.1932
2020-07-28,73,High risk fund,0.1932
2020-07-29,73,High risk fund,0.1932
2020-07-30,73,High risk fund,0.1932
2020-07-31,73,High risk fund,0.1932
2020-08-01,73,High risk fund,0.1932
2020-08-02,73,High risk fund,0.1932
2020-08-03,73,High risk fund,0.1932
2020-08-04,73,High risk fund,3.8356708779360003
2020-08-04,73,High risk fund,0.004914346896
2020-08-05,73,High risk fund,0.004914346896
2020-08-06,73,High risk fund,0.004914346896
2020-08-07,73,High risk fund,0.004914346896
2020-08-08,73,High risk fund,0.004914346896
2020-08-09,73,High risk fund,0.004914346896
2020-08-10,73,High risk fund,5.033700000705
2020-08-11,73,High risk fund,5.033700000705
2020-08-12,73,High risk fund,5.033700000705
2020-08-13,73,High risk fund,5.033700000705
2020-08-14,73,High risk fund,5.033700000705
2020-08-15,73,High risk fund,5.033700000705
2020-08-16,73,High risk fund,5.033700000705
2020-08-17,73,High risk fund,5.033700000705
2020-08-18,73,High risk fund,5.033700000705
2020-08-19,73,High risk fund,5.033700000705
2020-08-20,73,High risk fund,5.033700000705
2020-08-21,73,High risk fund,5.033700000705
2020-08-22,73,High risk fund,5.033700000705
2020-08-23,73,High risk fund,5.033700000705
2020-08-24,73,High risk fund,5.033700000705
2020-08-25,73,High risk fund,5.033700000705
2020-08-26,73,High risk fund,5.033700000705
2020-08-27,73,High risk fund,5.033700000705
2020-08-28,73,High risk fund,5.033700000705
2020-08-29,73,High risk fund,5.033700000705
2020-08-30,73,High risk fund,5.033700000705
2020-08-31,73,High risk fund,5.033700000705
